"Season","DayNum","TeamID","OTeamID","Score","OScore","Loc","NumOT","FGM","FGA","FGperc","eFGperc","TrueShot","PPP","FGM2","FGA2","FG2perc","FG2Freq","FGM3","FGA3","FG3perc","FG3Freq","FTM","FTA","FTperc","FTFreq","FTrate","OR","DR","Rebperc","OffRebperc","Ast","AstRatio","TO","AstTO","TOperc","Stl","STLperc","Blk","Blkperc","PF","PFperc","Pace","Poss","Off_rating","Def_rating","Net_rating","OFGM","OFGA","OFGperc","OeFGperc","OTrueShot","OPPP","OFGM2","OFGA2","OFG2perc","OFG2Freq","OFGM3","OFGA3","OFG3perc","OFG3Freq","OFTM","OFTA","OFTperc","OFTFreq","OFTrate","O_OR","ODR","ORebperc","O_OffRebperc","OAst","OAstRatio","OTO","OAstTO","OTOperc","OStl","OSTLperc","OBlk","OBlkperc","OPF","OPFperc","OPoss","O_Off_rating","ODef_rating","ONet_rating","OTop_seeded_teams","Winner","TeamName"
2019,1,1181,1246,118,84,"N",0,43,79,54.43,62.03,64.3,140.85,31,53,58.49,67.09,12,26,46.15,32.91,20,29,68.97,34.62,36.71,13,25,50.67,36.11,22,51.16,4,550,4.77,10,12.34,3,5.08,26,44.07,164.825,83.775,140.85,103.64,37.21,26,59,44.07,47.46,55.47,103.64,22,42,52.38,71.19,4,17,23.53,28.81,28,38,73.68,46.88,64.41,11,26,49.33,33.33,17,65.38,15,113.33,18.51,1,1.19,5,6.33,25,31.65,81.05,103.64,140.85,-37.21,1,1,"Duke"
2019,6,1181,1119,94,72,"H",0,35,72,48.61,59.03,60.47,120.24,20,36,55.56,50,15,36,41.67,50,9,13,69.23,16.63,18.06,12,38,55.56,32.43,24,68.57,12,200,15.35,8,10.21,9,11.54,11,14.1,156.5,78.175,120.24,91.92,28.32,28,78,35.9,43.59,44.4,91.92,16,47,34.04,60.26,12,31,38.71,39.74,4,7,57.14,8.94,8.97,13,27,44.44,26,22,78.57,10,220,12.77,4,5.12,1,1.39,17,23.61,78.325,91.92,120.24,-28.32,0,1,"Duke"
2019,9,1181,1185,84,46,"H",0,36,77,46.75,50,49.98,115.7,31,53,58.49,68.83,5,24,20.83,31.17,7,16,43.75,22.04,20.78,23,33,60.22,56.1,23,63.89,11,209.09,15.15,14,19.07,11,16.18,8,11.76,146.025,72.6,115.7,62.65,53.05,21,68,30.88,33.09,33.18,62.65,18,50,36,73.53,3,18,16.67,26.47,1,3,33.33,4.09,4.41,16,21,39.78,34.04,9,42.86,20,45,27.24,10,13.77,5,6.49,16,20.78,73.425,62.65,115.7,-53.05,0,1,"Duke"
2019,14,1181,1361,90,64,"N",0,29,57,50.88,59.65,62.53,121.38,19,32,59.38,56.14,10,25,40,43.86,22,34,64.71,45.85,59.65,14,29,58.9,50,12,41.38,15,80,20.23,7,9.88,4,7.55,25,47.17,144.975,74.15,121.38,90.36,31.02,19,53,35.85,41.51,49.32,90.36,13,32,40.62,60.38,6,21,28.57,39.62,20,27,74.07,38.12,50.94,8,22,41.1,23.53,8,42.11,13,61.54,18.36,7,9.44,3,5.26,23,40.35,70.825,90.36,121.38,-31.02,0,1,"Duke"
2019,15,1181,1120,78,72,"N",0,24,54,44.44,50.93,56.55,112.8,17,29,58.62,53.7,7,25,28,46.3,23,34,67.65,49.17,62.96,14,32,52.87,46.67,12,50,13,92.31,18.8,6,8.3,11,14.29,13,16.88,141.425,69.15,112.8,99.62,13.18,28,77,36.36,43.51,44.47,99.62,17,45,37.78,58.44,11,32,34.38,41.56,5,9,55.56,12.45,11.69,18,23,47.13,36.73,14,50,9,155.56,12.45,8,11.57,2,3.7,24,44.44,72.275,99.62,112.8,-13.18,1,1,"Duke"
2019,16,1181,1211,87,89,"N",0,31,72,43.06,46.53,52.13,120.25,26,59,44.07,81.94,5,13,38.46,18.06,20,26,76.92,35.94,36.11,22,22,55,53.66,9,29.03,10,90,13.82,5,6.94,6,9.23,18,27.69,144.375,72.35,120.25,123.57,-3.31999999999999,34,65,52.31,60,60.66,123.57,24,46,52.17,70.77,10,19,52.63,29.23,11,19,57.89,26.38,29.23,13,23,45,41.94,16,47.06,11,145.45,15.27,5,6.91,10,13.89,20,27.78,72.025,123.57,120.25,3.31999999999999,1,0,"Duke"
2019,22,1181,1231,90,69,"H",0,33,63,52.38,57.94,59.4,114.25,26,43,60.47,68.25,7,20,35,31.75,17,29,58.62,36.81,46.03,12,25,48.05,40,16,48.48,14,114.29,17.77,11,13.95,10,15.62,24,37.5,157.65,78.775,114.25,87.48,26.77,25,64,39.06,42.97,46,87.48,20,48,41.67,75,5,16,31.25,25,14,25,56,31.7,39.06,17,23,51.95,43.59,13,52,20,65,25.36,5,6.35,5,7.94,20,31.75,78.875,87.48,114.25,-26.77,0,1,"Duke"
2019,26,1181,1391,113,49,"H",0,45,78,57.69,65.38,65.76,135.25,33,44,75,56.41,12,34,35.29,43.59,11,18,61.11,21.54,23.08,20,32,62.65,60.61,29,64.44,17,170.59,20.35,19,23.41,5,8.06,14,22.58,164.725,83.55,135.25,60.36,74.89,20,62,32.26,33.87,36.18,60.36,18,39,46.15,62.9,2,23,8.7,37.1,7,13,53.85,16.01,20.97,14,17,37.35,33.33,11,55,27,40.74,33.26,6,7.18,4,5.13,14,17.95,81.175,60.36,135.25,-74.89,0,1,"Duke"
2019,30,1181,1216,84,54,"H",0,35,69,50.72,54.35,56.21,116.38,30,43,69.77,62.32,5,26,19.23,37.68,9,13,69.23,18.01,18.84,16,30,57.5,47.06,18,51.43,13,138.46,18.01,15,20.47,10,16.39,13,21.31,145.45,72.175,116.38,73.69,42.69,20,61,32.79,39.34,41.56,73.69,12,34,35.29,55.74,8,27,29.63,44.26,6,9,66.67,12.28,14.75,13,21,42.5,31.71,13,65,21,61.9,28.66,9,12.47,1,1.45,14,20.29,73.275,73.69,116.38,-42.69,0,1,"Duke"
2019,33,1181,1463,91,58,"H",0,33,67,49.25,52.99,56.42,110,28,46,60.87,68.66,5,21,23.81,31.34,20,31,64.52,37.47,46.27,14,32,54.76,41.18,20,60.61,15,133.33,18.13,16,19.22,6,9.23,14,21.54,165.95,82.725,110,69.69,40.31,23,65,35.38,37.69,41.52,69.69,20,42,47.62,64.62,3,23,13.04,35.38,9,11,81.82,13.22,16.92,10,28,45.24,23.81,14,60.87,23,60.87,27.64,9,10.88,2,2.99,23,34.33,83.225,69.69,110,-40.31,1,1,"Duke"
